Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6DXLO8LndZMVOHM0wNbpzg,"33ScadVnbm2X8kkUqOkC6Z,5bv5RplEOwdCvhq0EILh9E",Danza Kuduro,Meet The Orphans,"Don Omar,Lucenzo",1/1/2010,198786,78,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:29:55Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino",0.699,0.917,0,-4.897,1,0.115,0.078,0,0.065,0.889,130.04,4
0QHEIqNKsMoOY5urbzN48u,6JL8zeS1NmiOftqZTRgdTz,Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,134256,85,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:30:12Z,"hip pop,pop",0.838,0.525,10,-3.562,1,0.0665,0.345,0.00000192,0.0771,0.884,144.981,4
1jEBSDN5vYViJQr78W7jr2,6VuMaDnrHyPL1p4EHjYLi7,Light Switch,CHARLIE,Charlie Puth,10/6/2022,187703,80,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-05T00:19:02Z,"pop,viral pop",0.689,0.627,6,-5.692,1,0.308,0.105,0.000321,0.0905,0.905,184.008,4
2DB4DdfCFMw1iaR6JaR03a,"4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V",Bam Bam (feat. Ed Sheeran),Familia,"Camila Cabello,Ed Sheeran",4/7/2022,206070,78,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-05T00:19:04Z,"dance pop,pop,singer-songwriter pop,uk pop",0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4
5Odq8ohlgIbQKMZivbWkEo,"6VuMaDnrHyPL1p4EHjYLi7,6HaGTQPmzraVmaVxvz6EUc,3Nrfpe0tUJi4K4DXYWgMUX",Left and Right (Feat. Jung Kook of BTS),CHARLIE,"Charlie Puth,Jung Kook,BTS",10/6/2022,154486,84,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:25Z,"pop,viral pop,k-pop,k-pop boy group",0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,4
4h4QlmocP3IuwYEj2j14p8,"7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x",Sunroof,Sunroof,"Nicky Youre,dazy",12/3/2021,163025,68,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:30Z,singer-songwriter pop,0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,8/6/2020,238805,37,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:33Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
6I3mqTwhRpn34SLVafSH7G,1uNFoZAHBGtllmzznpCI3s,Ghost,Justice,Justin Bieber,3/19/2021,153190,87,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:37Z,"canadian pop,pop",0.601,0.741,2,-5.569,1,0.0478,0.185,0.0000291,0.415,0.441,153.96,4
2eAvDnpXP5W0cVtiI0PUxV,2WzaAvm2bBCf4pEhyuDgCY,Dandelions,Safe Haven,Ruth B.,5/5/2017,233720,89,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:40Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
5wANPM4fQCJwkGd4rN57mH,1McMsnEElThX1knmY4oliG,drivers license,SOUR,Olivia Rodrigo,5/21/2021,242013,88,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:42Z,pop,0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
1nahzW3kfMuwReTka28tH5,1uNFoZAHBGtllmzznpCI3s,Hold On,Justice,Justin Bieber,3/19/2021,170813,74,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:30:31Z,"canadian pop,pop",0.658,0.634,1,-6.068,0,0.0431,0.0104,0,0.12,0.302,140.002,4
228BxWXUYQPJrJYHDLOHkj,4VMYDCV2IEDYJArk749S6m,Gasolina,Barrio Fino (Bonus Track Version),Daddy Yankee,7/13/2004,192600,86,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:30:47Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.852,0.797,0,-6.543,1,0.0614,0.322,0.00000269,0.0845,0.741,96.008,4
7COfe3P7KgfwDwIRB8LIDw,"1vyhD5VmyZ7KMfW5gqLgo5,4RSyJzf7ef6Iu2rnLdabNq",Mi Gente,Vibras,"J Balvin,Willy William",5/25/2018,185040,76,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:30:59Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,pop dance",0.548,0.704,11,-4.838,0,0.0777,0.0168,0.0000225,0.143,0.288,104.666,4
58q2HKrzhC3ozto2nDdN4z,"4kYSro6naA4h99UJvo89HB,4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5",I Like It,Invasion of Privacy,"Cardi B,Bad Bunny,J Balvin",4/6/2018,253390,80,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:31:02Z,"pop,rap,reggaeton,trap latino,urbano latino,reggaeton colombiano",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
6k2900NjJeVqZM55G3Danu,"2W6kbe0nm96COrHzNmfLLd,1RyvyyTE3xzB2ZywiAwp0i,1vyhD5VmyZ7KMfW5gqLgo5,2ExGrw6XpbtUAJHTLtUXUD,1ackd5XprZEkH3McKbQD51",Bum Bum Tam Tam,Bum Bum Tam Tam,"MC Fioti,Future,J Balvin,Stefflon Don,Juan Magán",12/15/2017,213988,70,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:31:04Z,"funk carioca,funk ostentacao,funk paulista,atl hip hop,hip hop,rap,southern hip hop,trap,reggaeton,reggaeton colombiano,trap latino,urbano latino,dancehall,dancehall queen,uk dancehall,uk hip hop,electro latino,spanish pop",0.896,0.675,1,-3.908,1,0.124,0.346,0.00000811,0.262,0.659,131.999,4
1DoK3CdipMjplLk5LXUdcp,"1vyhD5VmyZ7KMfW5gqLgo5,4RSyJzf7ef6Iu2rnLdabNq,6vWDO969PvNqNYHIOW5v0m",Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),"J Balvin,Willy William,Beyoncé",9/28/2017,209733,63,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:31:08Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,pop dance,pop,r&b",0.759,0.716,11,-6.36,0,0.0818,0.0223,0,0.231,0.469,105.021,4
5fwSHlTEWpluwOM0Sxnh5k,329e4yvIujISKGKz1BZZbO,Pepas,Pepas,Farruko,6/24/2021,287120,84,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:31:31Z,"reggaeton,trap latino,urbano latino",0.762,0.766,7,-3.955,1,0.0343,0.00776,0.0000698,0.128,0.442,130.001,4
1q0PYXTbDsirp2l74ng6pn,"1vyhD5VmyZ7KMfW5gqLgo5,5he5w2lnU9x7JFhnwcekXX",In Da Getto,JOSE,"J Balvin,Skrillex",9/10/2021,130666,70,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:31:38Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,brostep,complextro,edm,electro,pop dance",0.924,0.723,8,-3.142,1,0.0466,0.0177,0.0000261,0.113,0.643,126.998,4
3eJH2nAjvNXdmPfBkALiPZ,07YZf4WDAMNwqr4jfgOZ8y,Acapulco,Acapulco,Jason Derulo,9/3/2021,139672,79,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:14Z,"dance pop,pop",0.774,0.792,10,-4.021,1,0.0523,0.051,0,0.155,0.507,122.062,4
6FvSS3Goz7OC8oCC2eWqe8,"49YbNTLaaAbZHLtDI2aPGL,07YZf4WDAMNwqr4jfgOZ8y",Jalebi Baby (Tesher x Jason Derulo),Jalebi Baby (Tesher x Jason Derulo),"Tesher,Jason Derulo",5/28/2021,169154,71,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:17Z,"dance pop,pop",0.691,0.829,0,-7.179,1,0.0412,0.0289,0,0.254,0.866,93.059,4
4gvrJnKCKIPiacNsWVQwEU,"048LktY5zMnakWq7PTtFrz,7iTLGcddv1bOPirdYJjKVy,5fUXK5m3BNwoRgTyKq8tnz",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],"CKay,Dj Yo!,AX'EL",9/9/2021,188368,76,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-02-03T05:27:20Z,"afro r&b,afrobeats",0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,3
6GKGoi0FHzldk1ZRQoV1fv,49YbNTLaaAbZHLtDI2aPGL,Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,189375,68,spotify:user:i5xmc431rymuesehhxjn3u4tx,2023-01-28T13:31:45Z,,0.68,0.895,2,-7.144,1,0.0378,0.0156,0.000374,0.145,0.824,93.037,4
